criterio,profundidade_maxima,minimo_divisao,minimo_folha,acuracia,precisao,recall,f1_score,roc_auc,desvio_f1,posicao
entropy,5,2,1,0.8059,0.3818,0.6909,0.4858,0.7888,0.0443,1
entropy,,10,4,0.8206,0.3954,0.6273,0.4831,0.7387,0.0656,2
entropy,5,5,1,0.8035,0.3767,0.6909,0.4823,0.7879,0.0458,3
entropy,5,2,2,0.8035,0.3767,0.6909,0.4823,0.7879,0.0458,3
entropy,5,5,2,0.8035,0.3767,0.6909,0.4823,0.7879,0.0458,3
entropy,5,10,2,0.8022,0.3751,0.6909,0.4808,0.7877,0.0439,6
entropy,5,10,1,0.8022,0.3751,0.6909,0.4808,0.7877,0.0439,6
entropy,,2,4,0.8182,0.3935,0.6182,0.478,0.7363,0.0634,8
entropy,,5,4,0.8182,0.3935,0.6182,0.478,0.7363,0.0634,8
gini,,10,4,0.8145,0.3858,0.6182,0.4746,0.742,0.0597,10
entropy,5,10,4,0.7936,0.3633,0.7,0.4735,0.7886,0.0424,11
entropy,5,2,4,0.7949,0.3636,0.6909,0.4715,0.7855,0.0432,12
entropy,5,5,4,0.7949,0.3636,0.6909,0.4715,0.7855,0.0432,12
gini,7,10,4,0.8071,0.3763,0.6364,0.4714,0.7471,0.0595,14
gini,5,10,4,0.7924,0.3619,0.6818,0.4701,0.7442,0.0575,15
entropy,7,10,4,0.7985,0.3649,0.6636,0.4689,0.7586,0.0524,16
gini,5,2,1,0.8022,0.3691,0.6364,0.4655,0.733,0.0868,17
entropy,,10,1,0.8243,0.3967,0.5727,0.4655,0.7153,0.0528,18
entropy,7,10,1,0.8034,0.3692,0.6364,0.4635,0.7497,0.0562,19
gini,5,5,1,0.8022,0.3667,0.6364,0.4631,0.7343,0.0884,20
gini,5,5,2,0.8022,0.3667,0.6364,0.4631,0.7343,0.0884,20
gini,5,5,4,0.7924,0.3577,0.6636,0.4628,0.7366,0.0631,22
gini,5,2,4,0.7924,0.3577,0.6636,0.4628,0.7366,0.0631,22
entropy,,10,2,0.8219,0.3921,0.5727,0.462,0.7132,0.0486,24
gini,5,10,2,0.7973,0.3606,0.6455,0.461,0.7379,0.0755,25
gini,5,10,1,0.7973,0.3606,0.6455,0.461,0.7379,0.0755,25
gini,5,2,2,0.8022,0.3666,0.6273,0.4606,0.727,0.0922,27
entropy,7,2,4,0.7997,0.3625,0.6364,0.4597,0.7457,0.0521,28
entropy,7,5,4,0.7997,0.3625,0.6364,0.4597,0.7457,0.0521,28
entropy,7,10,2,0.7997,0.3629,0.6364,0.4586,0.7484,0.0532,30
gini,7,10,1,0.8071,0.3695,0.6091,0.4582,0.7351,0.0706,31
gini,7,10,2,0.8034,0.3634,0.6091,0.4535,0.7326,0.0708,32
entropy,7,2,2,0.8046,0.3686,0.6,0.4528,0.7334,0.0589,33
gini,7,2,4,0.801,0.3607,0.6091,0.4527,0.7309,0.074,34
gini,7,5,4,0.801,0.3607,0.6091,0.4527,0.7309,0.074,34
entropy,3,10,1,0.7605,0.3295,0.7455,0.4521,0.8013,0.0595,36
entropy,3,5,2,0.7605,0.3295,0.7455,0.4521,0.8013,0.0595,36
entropy,3,10,2,0.7605,0.3295,0.7455,0.4521,0.8013,0.0595,36
entropy,3,5,1,0.7605,0.3295,0.7455,0.4521,0.8013,0.0595,36
entropy,3,2,1,0.7605,0.3295,0.7455,0.4521,0.8013,0.0595,36
entropy,3,2,2,0.7605,0.3295,0.7455,0.4521,0.8013,0.0595,36
gini,7,2,1,0.8206,0.383,0.5545,0.4509,0.7121,0.1002,42
entropy,3,2,4,0.7593,0.328,0.7455,0.4507,0.802,0.0577,43
entropy,3,10,4,0.7593,0.328,0.7455,0.4507,0.802,0.0577,43
entropy,3,5,4,0.7593,0.328,0.7455,0.4507,0.802,0.0577,43
gini,,5,4,0.8084,0.3679,0.5818,0.4496,0.7216,0.07,46
gini,,2,4,0.8084,0.3679,0.5818,0.4496,0.7216,0.07,46
gini,,10,2,0.8096,0.3679,0.5727,0.4473,0.7191,0.0639,48
entropy,7,5,2,0.8034,0.3646,0.5909,0.4471,0.7294,0.0622,49
gini,,2,2,0.8317,0.4077,0.5,0.447,0.6971,0.1087,50
entropy,7,5,1,0.8058,0.3682,0.5818,0.4468,0.7254,0.0709,51
entropy,7,2,1,0.8083,0.3682,0.5636,0.4411,0.7147,0.0829,52
gini,7,5,1,0.812,0.3639,0.5636,0.4407,0.7149,0.1119,53
gini,7,5,2,0.8034,0.356,0.5727,0.4382,0.7158,0.0906,54
gini,3,5,4,0.7506,0.3145,0.7273,0.4375,0.7606,0.0702,55
gini,3,2,4,0.7506,0.3145,0.7273,0.4375,0.7606,0.0702,55
gini,3,5,1,0.7506,0.3145,0.7273,0.4375,0.7605,0.0702,55
gini,3,10,4,0.7506,0.3145,0.7273,0.4375,0.7606,0.0702,55
gini,3,10,2,0.7506,0.3145,0.7273,0.4375,0.7605,0.0702,55
gini,3,5,2,0.7506,0.3145,0.7273,0.4375,0.7605,0.0702,55
gini,3,2,2,0.7506,0.3145,0.7273,0.4375,0.7605,0.0702,55
gini,3,10,1,0.7506,0.3145,0.7273,0.4375,0.7605,0.0702,55
gini,3,2,1,0.7506,0.3145,0.7273,0.4375,0.7605,0.0702,55
entropy,,5,2,0.8292,0.3989,0.4818,0.4341,0.6854,0.0506,64
gini,,10,1,0.8133,0.3686,0.5273,0.4325,0.7001,0.083,65
gini,7,2,2,0.8046,0.3526,0.5455,0.4277,0.7021,0.091,66
entropy,,2,2,0.8255,0.3887,0.4727,0.4239,0.6786,0.0345,67
gini,,5,2,0.8194,0.3663,0.4909,0.4176,0.6895,0.1021,68
entropy,,5,1,0.8292,0.3894,0.4364,0.4087,0.6619,0.0248,69
gini,,5,1,0.8231,0.3651,0.4545,0.4035,0.6698,0.1015,70
gini,,2,1,0.8341,0.3898,0.4182,0.4024,0.6587,0.0916,71
entropy,,2,1,0.8256,0.3651,0.3727,0.3682,0.6345,0.0823,72
