C,penalizacao,acuracia,precisao,recall,f1_score,roc_auc,desvio_f1,posicao
100.0,l2,0.7973,0.3857,0.8273,0.5249,0.8712,0.0326,1
100.0,l1,0.7973,0.3857,0.8273,0.5249,0.8711,0.0326,1
10.0,l1,0.7961,0.3836,0.8273,0.5232,0.8711,0.0315,3
10.0,l2,0.7961,0.3836,0.8273,0.5232,0.8711,0.0315,3
1.0,l2,0.7887,0.3732,0.8273,0.5138,0.872,0.0284,5
1.0,l1,0.7887,0.3729,0.8273,0.5136,0.8718,0.0285,6
0.1,l2,0.7826,0.3657,0.8273,0.5067,0.8789,0.0267,7
0.1,l1,0.7776,0.3598,0.8273,0.501,0.8745,0.0255,8
0.01,l2,0.7383,0.3254,0.8727,0.4739,0.8802,0.0499,9
0.01,l1,0.6548,0.266,0.8727,0.407,0.8365,0.0237,10
